"strap_number","term","estimate","std_error","statistic","p_value"
1,"(Intercept)",8.50102748680455,0.240624227914739,35.3290587588576,2.29644651081196e-119
1,"tmin",0.971866019358569,0.0171807225450812,56.5672378916806,8.28578920774758e-182
1,"prcp",0.00448508455355847,0.00211411743353886,2.12149262969314,0.034559364962454
2,"(Intercept)",7.98803732449446,0.207120177340873,38.5671614762475,2.89641533656718e-130
2,"tmin",1.0212824947267,0.0149374958382913,68.3703952645605,4.77695288673013e-209
2,"prcp",-0.00701645555320383,0.00197622989831335,-3.55042475533446,0.000435364714318863
3,"(Intercept)",8.09681685164363,0.209005163807542,38.739793334003,7.87560225360329e-131
3,"tmin",1.0327332178644,0.0154454179058573,66.8634040308332,8.4478577752731e-206
3,"prcp",-0.00775712347655858,0.00177225990525189,-4.37696720078768,1.57670205129138e-05
4,"(Intercept)",8.18372846367187,0.201725446022237,40.5686472631209,9.96442429653053e-137
4,"tmin",1.00876802483219,0.0144415079636003,69.8519868821724,3.51176934371451e-212
4,"prcp",-0.00990860649307019,0.00240526893562447,-4.11954203802896,4.70840770951128e-05
5,"(Intercept)",8.21303819600735,0.235244741803267,34.9127386782394,6.35314967485354e-118
5,"tmin",1.00808259607913,0.0162018423285171,62.2202448115909,2.17688749236371e-195
5,"prcp",-0.00364202349021162,0.00199049984141623,-1.82970297933827,0.0681166394040748
6,"(Intercept)",7.95935454699436,0.234402825643321,33.9558813983996,1.42125082311524e-114
6,"tmin",1.00836155214188,0.0159107291538312,63.376199946127,4.85861208271389e-198
6,"prcp",0.00075506680404206,0.00230678678292449,0.327324055101792,0.743612001286486
7,"(Intercept)",7.99120249423486,0.225625761399562,35.4179524743328,1.13340043212208e-119
7,"tmin",1.02349565299582,0.0156924961051066,65.22197910011,3.43282465641911e-202
7,"prcp",-0.0029956548999209,0.00191936096971838,-1.56075639089423,0.119455011194223
8,"(Intercept)",7.67367809952862,0.238024762179076,32.2389907221308,1.940597471615e-108
8,"tmin",1.03688477147743,0.0172456015541882,60.1245928255609,1.77925630608302e-190
8,"prcp",0.00124315927484566,0.00226516020093493,0.548817374741334,0.58346911803641
9,"(Intercept)",8.02682306187709,0.245836669282875,32.6510405680811,6.32163383498966e-110
9,"tmin",1.00539278203784,0.0166203941202131,60.4915127021638,2.39924772342666e-191
9,"prcp",0.00199474250074032,0.00191842182650286,1.03978305145568,0.299134675979132
10,"(Intercept)",7.9917489362405,0.198167606619391,40.3282305951738,5.80855771435559e-136
10,"tmin",1.02254993194431,0.0137056348293554,74.6079947901546,7.26237493091075e-222
10,"prcp",-0.00621018696928336,0.00170482291305605,-3.64271674302584,0.000309164810309444
11,"(Intercept)",7.62601162602326,0.212317149261954,35.9180200588243,2.17337755224281e-121
11,"tmin",1.06040974255016,0.0150180123265184,70.609193779773,9.24807545078341e-214
11,"prcp",-0.00813780161664854,0.00201659201018084,-4.03542291924423,6.65295190120275e-05
12,"(Intercept)",7.69236672532258,0.201948665201252,38.0907034847533,1.07366314424701e-128
12,"tmin",1.05324859439262,0.0146935207566158,71.6811587800287,5.68716313005588e-216
12,"prcp",-0.00877006417292238,0.00183114112518649,-4.78939828956612,2.44352182105112e-06
13,"(Intercept)",7.98450185082162,0.211529447010622,37.7465263756904,1.48469941536884e-127
13,"tmin",1.04527542972015,0.0153157478303703,68.2484094996281,8.70452695928581e-209
13,"prcp",-0.00737898340250056,0.00167126573935759,-4.41520652803961,1.33405020191583e-05
14,"(Intercept)",7.60887697323577,0.234455783004003,32.4533559195929,3.25931897829677e-109
14,"tmin",1.02434471558093,0.0158984633073996,64.4304229770537,2.01139042661275e-200
14,"prcp",0.0046399422329175,0.00214009372588948,2.16810234840954,0.0308018882552662
15,"(Intercept)",8.56357730142872,0.258267312154366,33.1578054922811,9.65133075799863e-112
15,"tmin",0.956353056635451,0.0183108548495919,52.2287498039321,1.25015653538607e-170
15,"prcp",0.00533628733149947,0.00216901183693768,2.46023891646138,0.0143509025935563
16,"(Intercept)",8.50592777111044,0.228763179297725,37.1822414657053,1.13611304199682e-125
16,"tmin",0.986516021624052,0.0168535415439677,58.5346420543371,1.17950851756983e-186
16,"prcp",-0.00136222477393791,0.00185341603877853,-0.73498056854826,0.462827194664965
17,"(Intercept)",7.92278755849863,0.214343694098267,36.9630074345288,6.19209856199936e-125
17,"tmin",1.02984650626791,0.0151160082117946,68.1295281028197,1.56347745201418e-208
17,"prcp",-0.00606474092339244,0.00169690600315736,-3.57399933296719,0.000399186306006799
18,"(Intercept)",8.02355504201124,0.24806759085678,32.3442293058088,8.07689973170911e-109
